diameter;anbefalt diameter;rett løft;snaret løft;u-løft;u-løft vinkel;direkte (15-45);snaret (15-45);direkte (46-60);snaret (46-60);direkte (15-45);snaret (15-45);direkte (46-60);snaret (46-60)
7;63;1.5;1.20;3.00;2.55;2.12;1.7;1.5;1.2;3.15;2.52;2.24;1.8
8;72;2.00;1.60;4.00;3.40;2.80;2.24;2.00;1.60;4.25;3.40;3.00;2.40
10;90;3.15;2.52;6.30;5.36;4.25;3.40;3.15;2.52;6.70;5.40;4.75;3.80
13;117;5.30;4.24;10.60;9.00;7.50;6.00;5.30;4.24;11.20;9.00;8.00;6.40
16;144;8.00;6.40;16.00;13.60;11.20;9.00;8.00;6.40;17.00;13.60;11.80;9.44
18;162;10.00;8.00;20.00;17.00;14.00;11.20;10.00;8.00;21.20;17.00;15.00;12.00
19;171;11.20;9.00;22.40;19.04;16.00;12.80;11.20;9.00;23.60;18.90;17.00;13.60
20;180;12.50;10.00;25.00;21.25;17.00;13.60;12.50;10.00;26.50;21.20;19.00;15.20
22;198;15.00;12.00;30.00;25.50;21.20;17.00;15.00;12.00;31.50;25.20;22.40;17.92
23;207;16.00;12.80;32.00;27.20;23.60;18.90;16.00;12.80;35.50;28.40;25.00;20.00
25;225;20.00;16.00;40.00;34.00;28.00;22.40;20.00;16.00;40.00;32.00;30.00;24.00
26;234;21.20;17.00;42.40;36.04;30.00;24.00;21.20;17.00;45.00;36.00;31.50;25.20
28;252;25.00;20.00;50.00;42.50;33.50;26.80;25.00;20.00;52.50;40.00;37.50;30.00
32;288;31.50;25.20;63.00;53.55;45.00;36.00;31.50;25.20;67.00;53.60;47.50;38.00
