"filename", "language", "C++", "CMake", "YAML", "Dart", "Markdown", "Ruby", "JSON", "Groovy", "Properties", "XML", "Swift", "HTML", "CMake Cache", "C", "comment", "blank", "total"
"/Users/hakonengfeldt/Dev/biks_app1/android/app/.cxx/Debug/1e13412q/armeabi-v7a/CMakeFiles/3.22.1-g37088a8/CMakeCCompiler.cmake", "CMake", 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 73
"/Users/hakonengfeldt/Dev/biks_app1/android/app/.cxx/Debug/1e13412q/armeabi-v7a/CMakeFiles/3.22.1-g37088a8/CMakeCXXCompiler.cmake", "CMake", 0, 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 84
"/Users/hakonengfeldt/Dev/biks_app1/android/app/.cxx/Debug/1e13412q/armeabi-v7a/CMakeFiles/3.22.1-g37088a8/CMakeSystem.cmake", "CMake", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 16
"/Users/hakonengfeldt/Dev/biks_app1/android/app/.cxx/Debug/1e13412q/armeabi-v7a/CMakeFiles/3.22.1-g37088a8/CompilerIdC/CMakeCCompilerId.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 610, 62, 132, 804
"/Users/hakonengfeldt/Dev/biks_app1/android/app/.cxx/Debug/1e13412q/armeabi-v7a/CMakeFiles/3.22.1-g37088a8/CompilerIdCXX/CMakeCXXCompilerId.cpp", "C++", 598, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 64, 130, 792
"/Users/hakonengfeldt/Dev/biks_app1/android/app/.cxx/Debug/1e13412q/armeabi-v7a/android_gradle_build.json", "JSON", 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28
"/Users/hakonengfeldt/Dev/biks_app1/android/app/.cxx/Debug/1e13412q/armeabi-v7a/android_gradle_build_mini.json", "JSON", 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20
"/Users/hakonengfeldt/Dev/biks_app1/android/app/.cxx/Debug/1e13412q/armeabi-v7a/cmake_install.cmake", "CMake", 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 55
"/Users/hakonengfeldt/Dev/biks_app1/android/app/.cxx/Debug/1e13412q/armeabi-v7a/prefab_config.json", "JSON", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"/Users/hakonengfeldt/Dev/biks_app1/android/app/.cxx/Debug/1e13412q/x86/.cmake/api/v1/reply/cache-v2-ad3e43f3972105953a18.json", "JSON", 0, 0, 0, 0, 0, 0, 1391, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1392
"/Users/hakonengfeldt/Dev/biks_app1/android/app/.cxx/Debug/1e13412q/x86/.cmake/api/v1/reply/cmakeFiles-v1-69a8e1b8aec1002ab223.json", "JSON", 0, 0, 0, 0, 0, 0, 799, 0, 0, 0, 0, 0, 0, 0, 0, 1, 800
"/Users/hakonengfeldt/Dev/biks_app1/android/app/.cxx/Debug/1e13412q/x86/.cmake/api/v1/reply/codemodel-v2-bfb3d174840181955f61.json", "JSON", 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 1, 44
"/Users/hakonengfeldt/Dev/biks_app1/android/app/.cxx/Debug/1e13412q/x86/.cmake/api/v1/reply/directory-.-Debug-f5ebdc15457944623624.json", "JSON", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"/Users/hakonengfeldt/Dev/biks_app1/android/app/.cxx/Debug/1e13412q/x86/.cmake/api/v1/reply/index-2025-05-20T15-10-19-0026.json", "JSON", 0, 0, 0, 0, 0, 0, 92, 0, 0, 0, 0, 0, 0, 0, 0, 1, 93
"/Users/hakonengfeldt/Dev/biks_app1/android/app/.cxx/Debug/1e13412q/x86/CMakeCache.txt", "CMake Cache", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 328, 0, 0, 78, 406
"/Users/hakonengfeldt/Dev/biks_app1/android/app/.cxx/Debug/1e13412q/x86/CMakeFiles/3.22.1-g37088a8/CMakeCCompiler.cmake", "CMake", 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 73
"/Users/hakonengfeldt/Dev/biks_app1/android/app/.cxx/Debug/1e13412q/x86/CMakeFiles/3.22.1-g37088a8/CMakeCXXCompiler.cmake", "CMake", 0, 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 84
"/Users/hakonengfeldt/Dev/biks_app1/android/app/.cxx/Debug/1e13412q/x86/CMakeFiles/3.22.1-g37088a8/CMakeSystem.cmake", "CMake", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 16
"/Users/hakonengfeldt/Dev/biks_app1/android/app/.cxx/Debug/1e13412q/x86/CMakeFiles/3.22.1-g37088a8/CompilerIdC/CMakeCCompilerId.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 610, 62, 132, 804
"/Users/hakonengfeldt/Dev/biks_app1/android/app/.cxx/Debug/1e13412q/x86/CMakeFiles/3.22.1-g37088a8/CompilerIdCXX/CMakeCXXCompilerId.cpp", "C++", 598, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 64, 130, 792
"/Users/hakonengfeldt/Dev/biks_app1/android/app/.cxx/Debug/1e13412q/x86/android_gradle_build.json", "JSON", 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28
"/Users/hakonengfeldt/Dev/biks_app1/android/app/.cxx/Debug/1e13412q/x86/android_gradle_build_mini.json", "JSON", 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20
"/Users/hakonengfeldt/Dev/biks_app1/android/app/.cxx/Debug/1e13412q/x86/cmake_install.cmake", "CMake", 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 55
"/Users/hakonengfeldt/Dev/biks_app1/android/app/.cxx/Debug/1e13412q/x86/prefab_config.json", "JSON", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"/Users/hakonengfeldt/Dev/biks_app1/android/app/.cxx/Debug/1e13412q/x86_64/.cmake/api/v1/reply/cache-v2-1dd513afbc988bbf1e27.json", "JSON", 0, 0, 0, 0, 0, 0, 1391, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1392
"/Users/hakonengfeldt/Dev/biks_app1/android/app/.cxx/Debug/1e13412q/x86_64/.cmake/api/v1/reply/cmakeFiles-v1-c819b12e74bb26cad1c7.json", "JSON", 0, 0, 0, 0, 0, 0, 799, 0, 0, 0, 0, 0, 0, 0, 0, 1, 800
"/Users/hakonengfeldt/Dev/biks_app1/android/app/.cxx/Debug/1e13412q/x86_64/.cmake/api/v1/reply/codemodel-v2-11d6816c07f8b8b72494.json", "JSON", 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 1, 44
"/Users/hakonengfeldt/Dev/biks_app1/android/app/.cxx/Debug/1e13412q/x86_64/.cmake/api/v1/reply/directory-.-Debug-f5ebdc15457944623624.json", "JSON", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"/Users/hakonengfeldt/Dev/biks_app1/android/app/.cxx/Debug/1e13412q/x86_64/.cmake/api/v1/reply/index-2025-05-20T15-10-19-0462.json", "JSON", 0, 0, 0, 0, 0, 0, 92, 0, 0, 0, 0, 0, 0, 0, 0, 1, 93
"/Users/hakonengfeldt/Dev/biks_app1/android/app/.cxx/Debug/1e13412q/x86_64/CMakeCache.txt", "CMake Cache", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 328, 0, 0, 78, 406
"/Users/hakonengfeldt/Dev/biks_app1/android/app/.cxx/Debug/1e13412q/x86_64/CMakeFiles/3.22.1-g37088a8/CMakeCCompiler.cmake", "CMake", 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 73
"/Users/hakonengfeldt/Dev/biks_app1/android/app/.cxx/Debug/1e13412q/x86_64/CMakeFiles/3.22.1-g37088a8/CMakeCXXCompiler.cmake", "CMake", 0, 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 84
"/Users/hakonengfeldt/Dev/biks_app1/android/app/.cxx/Debug/1e13412q/x86_64/CMakeFiles/3.22.1-g37088a8/CMakeSystem.cmake", "CMake", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 16
"/Users/hakonengfeldt/Dev/biks_app1/android/app/.cxx/Debug/1e13412q/x86_64/CMakeFiles/3.22.1-g37088a8/CompilerIdC/CMakeCCompilerId.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 610, 62, 132, 804
"/Users/hakonengfeldt/Dev/biks_app1/android/app/.cxx/Debug/1e13412q/x86_64/CMakeFiles/3.22.1-g37088a8/CompilerIdCXX/CMakeCXXCompilerId.cpp", "C++", 598, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 64, 130, 792
"/Users/hakonengfeldt/Dev/biks_app1/android/app/.cxx/Debug/1e13412q/x86_64/android_gradle_build.json", "JSON", 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28
"/Users/hakonengfeldt/Dev/biks_app1/android/app/.cxx/Debug/1e13412q/x86_64/android_gradle_build_mini.json", "JSON", 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20
"/Users/hakonengfeldt/Dev/biks_app1/android/app/.cxx/Debug/1e13412q/x86_64/cmake_install.cmake", "CMake", 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 55
"/Users/hakonengfeldt/Dev/biks_app1/android/app/.cxx/Debug/1e13412q/x86_64/prefab_config.json", "JSON", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"/Users/hakonengfeldt/Dev/biks_app1/android/app/.cxx/Debug/1n1y442l/arm64-v8a/.cmake/api/v1/reply/cache-v2-78c87bbe722f29182c56.json", "JSON", 0, 0, 0, 0, 0, 0, 1391, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1392
"/Users/hakonengfeldt/Dev/biks_app1/android/app/.cxx/Debug/1n1y442l/arm64-v8a/.cmake/api/v1/reply/cmakeFiles-v1-07ac507289e997f9c386.json", "JSON", 0, 0, 0, 0, 0, 0, 799, 0, 0, 0, 0, 0, 0, 0, 0, 1, 800
"/Users/hakonengfeldt/Dev/biks_app1/android/app/.cxx/Debug/1n1y442l/arm64-v8a/.cmake/api/v1/reply/codemodel-v2-0fc5cd76fa9b77c0e7f8.json", "JSON", 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 1, 44
"/Users/hakonengfeldt/Dev/biks_app1/android/app/.cxx/Debug/1n1y442l/arm64-v8a/.cmake/api/v1/reply/directory-.-Debug-f5ebdc15457944623624.json", "JSON", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"/Users/hakonengfeldt/Dev/biks_app1/android/app/.cxx/Debug/1n1y442l/arm64-v8a/.cmake/api/v1/reply/index-2025-03-12T11-37-36-0984.json", "JSON", 0, 0, 0, 0, 0, 0, 92, 0, 0, 0, 0, 0, 0, 0, 0, 1, 93
"/Users/hakonengfeldt/Dev/biks_app1/android/app/.cxx/Debug/1n1y442l/arm64-v8a/CMakeCache.txt", "CMake Cache", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 328, 0, 0, 78, 406
"/Users/hakonengfeldt/Dev/biks_app1/android/app/.cxx/Debug/1n1y442l/arm64-v8a/CMakeFiles/3.22.1-g37088a8/CMakeCCompiler.cmake", "CMake", 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 73
"/Users/hakonengfeldt/Dev/biks_app1/android/app/.cxx/Debug/1n1y442l/arm64-v8a/CMakeFiles/3.22.1-g37088a8/CMakeCXXCompiler.cmake", "CMake", 0, 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 84
"/Users/hakonengfeldt/Dev/biks_app1/android/app/.cxx/Debug/1n1y442l/arm64-v8a/CMakeFiles/3.22.1-g37088a8/CMakeSystem.cmake", "CMake", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 16
"/Users/hakonengfeldt/Dev/biks_app1/android/app/.cxx/Debug/1n1y442l/arm64-v8a/CMakeFiles/3.22.1-g37088a8/CompilerIdC/CMakeCCompilerId.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 610, 62, 132, 804
"/Users/hakonengfeldt/Dev/biks_app1/android/app/.cxx/Debug/1n1y442l/arm64-v8a/CMakeFiles/3.22.1-g37088a8/CompilerIdCXX/CMakeCXXCompilerId.cpp", "C++", 598, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 64, 130, 792
"/Users/hakonengfeldt/Dev/biks_app1/android/app/.cxx/Debug/1n1y442l/arm64-v8a/android_gradle_build.json", "JSON", 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28
"/Users/hakonengfeldt/Dev/biks_app1/android/app/.cxx/Debug/1n1y442l/arm64-v8a/android_gradle_build_mini.json", "JSON", 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20
